rate,0.5-1.0Å,1.0-1.5Å,1.5-2.0Å,2.0-2.5Å,2.5-3.0Å,3.0-3.5Å,3.5-4.0Å,4.0-4.5Å,4.5-5.0Å,5.0Å-
0-5%,0,0,1,0,1,4,6,0,6,58
5-10%,0,0,0,0,0,0,0,0,0,0
10-15%,0,0,0,0,0,0,0,0,0,2
15-20%,0,0,0,0,0,0,0,0,0,2
20-40%,0,0,0,0,0,0,0,0,0,0
40-60%,0,0,0,0,0,0,0,0,0,0
60-80%,0,0,0,0,0,0,0,0,0,0
80-100%,0,0,0,0,0,0,0,0,0,0
0-5%,0,0,100.00%,0,100.00%,100.00%,100.00%,0,100.00%,93.55%
5-10%,0,0,0.00%,0,0.00%,0.00%,0.00%,0,0.00%,0.00%
10-15%,0,0,0.00%,0,0.00%,0.00%,0.00%,0,0.00%,3.23%
15-20%,0,0,0.00%,0,0.00%,0.00%,0.00%,0,0.00%,3.23%
20-40%,0,0,0.00%,0,0.00%,0.00%,0.00%,0,0.00%,0.00%
40-60%,0,0,0.00%,0,0.00%,0.00%,0.00%,0,0.00%,0.00%
60-80%,0,0,0.00%,0,0.00%,0.00%,0.00%,0,0.00%,0.00%
80-100%,0,0,0.00%,0,0.00%,0.00%,0.00%,0,0.00%,0.00%
sum,0,0,1,0,1,4,6,0,6,62
